accept:fd=4.
accept:fd=5.
accept:fd=6.
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=0).
accept:fd=7.
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=0).
accept:fd=8.
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=0).
accept:fd=9.
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=1).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=0).
accept:fd=10.
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=1).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=0).
accept:fd=11.
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=1).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=0).
accept:fd=12.
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=2).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=1).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=0).
accept:fd=13.
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=2).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=1).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=0).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=2).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=1).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=0).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=3).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=2).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=1).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=0).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=3).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=2).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=1).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=3).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=2).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=1).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=4).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=3).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=2).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=1).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=4).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=3).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=2).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=4).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=3).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=2).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=5).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=4).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=3).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=2).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=5).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=4).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=3).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=5).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=4).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=3).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=6).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=5).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=4).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=3).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=6).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=5).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=4).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=6).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=5).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=4).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=7).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=6).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=5).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=4).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=7).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=6).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=5).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=7).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=6).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=5).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=8).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=7).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=6).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=5).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=8).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=7).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=6).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=8).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=7).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=6).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=9).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=8).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=7).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=6).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=9).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=8).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=7).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=9).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=8).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=7).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=10).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=9).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=8).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=7).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=10).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=9).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=8).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=10).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=9).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=8).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=11).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=10).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=9).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=8).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=11).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=10).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=9).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=11).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=10).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=9).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=12).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=11).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=10).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=9).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=12).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=11).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=10).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=12).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=11).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=10).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=13).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=12).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=11).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=10).
recv:: hello server(ip=127.0.0.1, port=23436, pid=18529, index=13).
recv:: hello server(ip=127.0.0.1, port=24716, pid=18535, index=12).
recv:: hello server(ip=127.0.0.1, port=25996, pid=18543, index=11).
recv:: hello server(ip=127.0.0.1, port=23692, pid=18531, index=13).
recv:: hello server(ip=127.0.0.1, port=24972, pid=18537, index=12).
recv:: hello server(ip=127.0.0.1, port=26252, pid=18545, index=11).
recv:: hello server(ip=127.0.0.1, port=22924, pid=18527, index=14).
recv:: hello server(ip=127.0.0.1, port=24204, pid=18533, index=13).
recv:: hello server(ip=127.0.0.1, port=25484, pid=18539, index=12).
recv:: hello server(ip=127.0.0.1, port=26764, pid=18547, index=11).
